cat_id,cat_name,cat_slug,cat_posttype,cat_parent,cat_schema,cat_font_icon,cat_color,cat_description,cat_top_description,cat_bottom_description,cat_image,cat_icon
258,"Components &amp; Accessories",components-accessories,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
259,"Software &amp; Hardware",software-hardware,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
260,"Other Computer Stuff",other-computer-stuff,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
261,Manuals,manuals,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
262,"Other Computers &amp; Tablets",other-computers-tablets,gd_place,"COMPUTERS &amp; TABLETS",,,,,,,,
264,"Dish Washer",dish-washer,gd_place,"HOME ELECTRONICS",,,,,,,,
265,"Dryer (for clothes)",dryer-for-clothes,gd_place,"HOME ELECTRONICS",,,,,,,,
266,"Washing Machine",washing-machine,gd_place,"HOME ELECTRONICS",,,,,,,,
267,"Microwave own",microwave-own,gd_place,"HOME ELECTRONICS",,,,,,,,
268,Owens,owens,gd_place,"HOME ELECTRONICS",,,,,,,,
269,Lamps,lamps,gd_place,"HOME ELECTRONICS",,,,,,,,
270,"Electric Kettles",electric-kettles,gd_place,"HOME ELECTRONICS",,,,,,,,
271,"Baking Machines",baking-machines,gd_place,"HOME ELECTRONICS",,,,,,,,
272,"Hair Dryers &amp; Hair",hair-dryers,gd_place,"HOME ELECTRONICS",,,,,,,,
273,"Hoovers &amp; Cleaning",hoovers-cleaning,gd_place,"HOME ELECTRONICS",,,,,,,,
274,"Other Home Electronics",other-home-electronics,gd_place,"HOME ELECTRONICS",,,,,,,,
275,"Club Games",club-games,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
276,Crafting,crafting,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
277,Handicrafts,handicrafts,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
278,Stamps,stamps-entertainment-and-hobbies,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
279,Collections,collections,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
280,Coins,coins,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
281,"Other Accessories",other-accessories,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
282,"Musical Instrument Building",musical-instrument-building,gd_place,"ENTERTAINMENT &amp; HOBBIES",,,,,,,,
284,"Sofas &amp; Armchairs",sofas-armchairs,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
285,"Beds &amp; Sleeping Room",beds-sleeping-room,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
286,"Tables &amp; Chairs",tables-chairs,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
287,"Carpets &amp; Textiles",carpets-textiles,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
288,Lamps,lamps-furniture-and-decoration,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
289,"Shelves &amp; Chests of Drawers",shelves-chests-of-drawers,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
290,Cabinets,cabinets,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
291,"Other Furniture",other-furniture,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
292,"Other Decoration",other-decoration,gd_place,"FURNITURE &amp; DECORATION",,,,,,,,
294,"Kitchen Dishes &amp; utensils",kitchen-dishes-utensils,gd_place,"HOME &amp; GARDEN",,,,,,,,
295,"Kitchen Accesories",kitchen-accesories,gd_place,"HOME &amp; GARDEN",,,,,,,,
296,"Yard, Garden &amp; House Plants",yard-garden-house-plants,gd_place,"HOME &amp; GARDEN",,,,,,,,
297,"Cottage &amp; Cabin Stuff",cottage-cabin-stuff,gd_place,"HOME &amp; GARDEN",,,,,,,,
298,"Home Office Stuff",home-office-stuff,gd_place,"HOME &amp; GARDEN",,,,,,,,
299,"Other Home &amp; Garden",other-home-garden,gd_place,"HOME &amp; GARDEN",,,,,,,,
300,"Garden Shelters",garden-shelves,gd_place,"HOME &amp; GARDEN",,,,,,,,
301,Gardening,gardening,gd_place,"HOME &amp; GARDEN",,,,,,,,
302,"Yard Stuff",yard-stuff,gd_place,"HOME &amp; GARDEN",,,,,,,,
303,"Living Room Stuff",living-room-stuff,gd_place,"HOME &amp; GARDEN",,,,,,,,
304,"Sleeping Room Stuff",sleeping-room-stuff,gd_place,"HOME &amp; GARDEN",,,,,,,,
306,"Residential (Houses &amp; Apartments etc.)",residential-houses-apartments-etc,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
307,"Commercial (Shops &amp; Offices)",commercial-shops-offices,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
308,"Land, Plots, Forest &amp; Agricultural Fields",land-plots-forest-agricultural-fields,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
309,"Build Houses",build-houses,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
310,"Cottages &amp; Cabins etc.",cottages-cabins-etc,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
311,"Other Real Estate",other-real-estate,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
312,"Manufactured Housing",manufactured-housing,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
313,Timeshares,timeshares,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
314,"Other Housing &amp; Real Estate",other-housing-real-estate,gd_place,"HOUSING &amp; REAL ESTATE",,,,,,,,
315,"Craftsmen &amp; Craftswomen",craftsmen-craftswomen,gd_place,MAKERS,,,,,,,,
316,Electrician,electrician,gd_place,MAKERS,,,,,,,,
317,Carpenter,carpenter,gd_place,MAKERS,,,,,,,,
318,"Stove maker",stove-maker,gd_place,MAKERS,,,,,,,,
319,Cleaners,cleaners,gd_place,MAKERS,,,,,,,,
320,Painters,painters,gd_place,MAKERS,,,,,,,,
321,"Handyman &amp; Handywoman",handyman-handywoman,gd_place,MAKERS,,,,,,,,
322,"Repairman &amp; Repairwoman",repairman-repairwoman,gd_place,MAKERS,,,,,,,,
323,"Roof makers",roof-makers,gd_place,MAKERS,,,,,,,,
324,"Cabin builders",cabin-builders,gd_place,MAKERS,,,,,,,,
325,"Designers &amp; Decorators",designers-decorators,gd_place,MAKERS,,,,,,,,
326,Plumbers,plumbers,gd_place,MAKERS,,,,,,,,
327,"Other Makers",other-makers,gd_place,MAKERS,,,,,,,,
329,"Other Stuff",other-stuff,gd_place,MISCELLANEOUS,,,,,,,,
331,"Stock Film",stock-film,gd_place,"MOVIES &amp; ACCESSORIES",,,,,,,,
332,"DVDs &amp; Blu-ray Discs",dvds-blu-ray-discs,gd_place,"MOVIES &amp; ACCESSORIES",,,,,,,,
333,LaserDiscs,laserdiscs,gd_place,"MOVIES &amp; ACCESSORIES",,,,,,,,
334,"VHS tapes",vhs-tapes,gd_place,"MOVIES &amp; ACCESSORIES",,,,,,,,
335,UMDs,umds,gd_place,"MOVIES &amp; ACCESSORIES",,,,,,,,
336,"Movie Accessories",movie-accessories,gd_place,"MOVIES &amp; ACCESSORIES",,,,,,,,
